hand,truco_score
1b 1o 5c,15.819305
1b 1o 6e,18.392279
1b 1o 6b,18.392279
1b 1o 6o,18.392279
1b 1o 6c,18.392279
1b 1o 7e,34.972973
1b 1o 7b,20.296526
1b 1o 7o,34.43166
1b 1o 7c,20.296526
1b 1o 10e,22.251738
1b 1o 10b,22.251738
1b 1o 10o,22.251738
1b 1o 10c,22.251738
1b 1o 11e,24.82471
1b 1o 11b,24.82471
1b 1o 11o,24.82471
1b 1o 11c,24.82471
1b 1o 12e,27.397684
1b 1o 12b,27.397684
1b 1o 12o,27.397684
1b 1o 12c,27.397684
1b 1c 2e,30.951351
1b 1c 2b,30.951351
1b 1c 2o,30.951351
1b 1c 2c,30.951351
1b 1c 3e,33.116604
1b 1c 3b,33.116604
1b 1c 3o,33.116604
1b 1c 3c,33.116604
1b 1c 4e,13.246332
1b 1c 4b,13.246332
1b 1c 4o,13.246332
1b 1c 4c,13.246332
1b 1c 5e,15.819305
1b 1c 5b,15.819305
1b 1c 5o,15.819305
1b 1c 5c,15.819305
1b 1c 6e,18.392279
1b 1c 6b,18.392279
1b 1c 6o,18.392279
1b 1c 6c,18.392279
1b 1c 7e,34.972973
1b 1c 7b,20.296526
1b 1c 7o,34.43166
1b 1c 7c,20.296526
1b 1c 10e,22.251738
1b 1c 10b,22.251738
1b 1c 10o,22.251738
1b 1c 10c,22.251738
1b 1c 11e,24.82471
1b 1c 11b,24.82471
1b 1c 11o,24.82471
1b 1c 11c,24.82471
1b 1c 12e,27.397684
1b 1c 12b,27.397684
1b 1c 12o,27.397684
1b 1c 12c,27.397684
1b 2e 2b,32.345947
1b 2e 2o,32.345947
1b 2e 2c,32.345947
1b 2e 3e,34.05251
1b 2e 3b,34.05251
1b 2e 3o,34.05251
1b 2e 3c,34.05251
1b 2e 4e,18.769112
1b 2e 4b,18.769112
1b 2e 4o,18.769112
1b 2e 4c,18.769112
1b 2e 5e,20.730501
1b 2e 5b,20.730501
1b 2e 5o,20.730501
1b 2e 5c,20.730501
1b 2e 6e,22.691893
1b 2e 6b,22.691893
1b 2e 6o,22.691893
1b 2e 6c,22.691893
1b 2e 7e,35.2973
1b 2e 7b,24.086487
1b 2e 7o,34.908882
1b 2e 7c,24.086487
1b 2e 10e,25.633976
1b 2e 10b,25.633976
1b 2e 10o,25.633976
1b 2e 10c,25.633976
1b 2e 11e,27.595367
1b 2e 11b,27.595367
1b 2e 11o,27.595367
1b 2e 11c,27.595367
1b 2e 12e,29.556757
1b 2e 12b,29.556757
1b 2e 12o,29.556757
1b 2e 12c,29.556757
1b 2b 2o,32.345947
1b 2b 2c,32.345947
1b 2b 3e,34.05251
1b 2b 3b,34.05251
1b 2b 3o,34.05251
1b 2b 3c,34.05251
1b 2b 4e,18.769112
1b 2b 4b,18.769112
1b 2b 4o,18.769112
1b 2b 4c,18.769112
1b 2b 5e,20.730501
1b 2b 5b,20.730501
1b 2b 5o,20.730501
1b 2b 5c,20.730501
1b 2b 6e,22.691893
1b 2b 6b,22.691893
1b 2b 6o,22.691893
1b 2b 6c,22.691893
1b 2b 7e,35.2973
1b 2b 7b,24.086487
1b 2b 7o,34.908882
1b 2b 7c,24.086487
1b 2b 10e,25.633976
1b 2b 10b,25.633976
1b 2b 10o,25.633976
1b 2b 10c,25.633976
1b 2b 11e,27.595367
1b 2b 11b,27.595367
1b 2b 11o,27.595367
1b 2b 11c,27.595367
1b 2b 12e,29.556757
1b 2b 12b,29.556757
1b 2b 12o,29.556757
1b 2b 12c,29.556757
1b 2o 2c,32.345947
1b 2o 3e,34.05251
1b 2o 3b,34.05251
1b 2o 3o,34.05251
1b 2o 3c,34.05251
1b 2o 4e,18.769112
1b 2o 4b,18.769112
1b 2o 4o,18.769112
1b 2o 4c,18.769112
1b 2o 5e,20.730501
1b 2o 5b,20.730501
1b 2o 5o,20.730501
1b 2o 5c,20.730501
1b 2o 6e,22.691893
1b 2o 6b,22.691893
1b 2o 6o,22.691893
1b 2o 6c,22.691893
1b 2o 7e,35.2973
1b 2o 7b,24.086487
1b 2o 7o,34.908882
1b 2o 7c,24.086487
1b 2o 10e,25.633976
1b 2o 10b,25.633976
1b 2o 10o,25.633976
1b 2o 10c,25.633976
1b 2o 11e,27.595367
1b 2o 11b,27.595367
1b 2o 11o,27.595367
1b 2o 11c,27.595367
1b 2o 12e,29.556757
1b 2o 12b,29.556757
1b 2o 12o,29.556757
1b 2o 12c,29.556757
1b 2c 3e,34.05251
1b 2c 3b,34.05251
1b 2c 3o,34.05251
1b 2c 3c,34.05251
1b 2c 4e,18.769112
1b 2c 4b,18.769112
1b 2c 4o,18.769112
1b 2c 4c,18.769112
1b 2c 5e,20.730501
1b 2c 5b,20.730501
1b 2c 5o,20.730501
1b 2c 5c,20.730501
1b 2c 6e,22.691893
1b 2c 6b,22.691893
1b 2c 6o,22.691893
1b 2c 6c,22.691893
1b 2c 7e,35.2973
1b 2c 7b,24.086487
